imageFilename,WindField,geometry_x,geometry_y,heading,dx,dy,ratio,speed
wind_field_estimation_Orb_tnr_spk_TC_images.1000.tif,wind_110,-31.5518928,35.22676963,165.6289221,-41.73,90.88,0.72,18.4
wind_field_estimation_Orb_tnr_spk_TC_images.1002.tif,wind_115,-31.51942542,35.22215059,169.5824037,-35.34,93.55,0.73,13.8
wind_field_estimation_Orb_tnr_spk_TC_images.10020.tif,wind_4851,-32.14011706,33.69684811,176.4119283,-23.6,97.17,0.65,6
wind_field_estimation_Orb_tnr_spk_TC_images.10021.tif,wind_4844,-32.10823094,33.69225962,173.7714455,-28.15,95.96,0.71,8.2
wind_field_estimation_Orb_tnr_spk_TC_images.10022.tif,wind_4847,-32.0763448,33.68767113,166.0457573,-40.98,91.22,0.73,14.8
wind_field_estimation_Orb_tnr_spk_TC_images.10024.tif,wind_4846,-32.04445866,33.68308264,164.1180175,-44.08,89.76,0.78,14.2
wind_field_estimation_Orb_tnr_spk_TC_images.10025.tif,wind_4849,-32.01257254,33.67849416,176.9680296,-22.77,97.37,0.69,8.3
wind_field_estimation_Orb_tnr_spk_TC_images.10028.tif,wind_4790,-31.94314353,33.69624987,166.4006593,-40.53,91.42,0.82,14.3
wind_field_estimation_Orb_tnr_spk_TC_images.1003.tif,wind_114,-31.486962,35.21752202,180.4257395,-16.85,98.57,0.78,14.3
wind_field_estimation_Orb_tnr_spk_TC_images.10037.tif,wind_4753,-31.74616182,33.69538709,176.2489504,-24.25,97.02,0.76,12.6
wind_field_estimation_Orb_tnr_spk_TC_images.10038.tif,wind_4752,-31.71429188,33.6907123,174.2991515,-27.63,96.11,0.76,13.6
wind_field_estimation_Orb_tnr_spk_TC_images.10040.tif,wind_4749,-31.68242919,33.68601945,179.898379,-17.99,98.37,0.7,17.1
wind_field_estimation_Orb_tnr_spk_TC_images.10041.tif,wind_4748,-31.65056649,33.68132661,166.7156874,-40.29,91.52,0.72,6.4
wind_field_estimation_Orb_tnr_spk_TC_images.10042.tif,wind_4743,-31.6187038,33.67663376,172.4696618,-30.81,95.13,0.65,15.3
wind_field_estimation_Orb_tnr_spk_TC_images.10045.tif,wind_4738,-31.5491896,33.69421498,177.2588455,-22.7,97.39,0.79,13.1
wind_field_estimation_Orb_tnr_spk_TC_images.10047.tif,wind_4735,-31.5173315,33.68948757,179.9683791,-18.02,98.36,0.7,20
wind_field_estimation_Orb_tnr_spk_TC_images.10048.tif,wind_4734,-31.48547341,33.68476015,179.4644885,-18.93,98.19,0.63,19.9
wind_field_estimation_Orb_tnr_spk_TC_images.10050.tif,wind_4720,-31.45361534,33.68003274,170.2345936,-34.72,93.78,0.76,13.8
wind_field_estimation_Orb_tnr_spk_TC_images.10051.tif,wind_4723,-31.42177218,33.67527144,176.5508454,-24.05,97.06,0.74,15.3
wind_field_estimation_Orb_tnr_spk_TC_images.10053.tif,wind_4620,-31.38407128,33.69752253,163.8905286,-45.04,89.28,0.78,14.4
wind_field_estimation_Orb_tnr_spk_TC_images.10054.tif,wind_4615,-31.35221821,33.69276145,178.7254012,-20.34,97.91,0.69,15
wind_field_estimation_Orb_tnr_spk_TC_images.10055.tif,wind_4614,-31.32036516,33.68800036,176.3025318,-24.56,96.94,0.67,7.7
wind_field_estimation_Orb_tnr_spk_TC_images.10057.tif,wind_4603,-31.28852311,33.68321322,169.998922,-35.26,93.58,0.71,11.3
wind_field_estimation_Orb_tnr_spk_TC_images.10058.tif,wind_4607,-31.25668482,33.67841712,161.0862723,-49.52,86.88,0.74,8.2
wind_field_estimation_Orb_tnr_spk_TC_images.1006.tif,wind_103,-31.41621189,35.23527576,173.8204792,-28.31,95.91,0.8,15.6
wind_field_estimation_Orb_tnr_spk_TC_images.10061.tif,wind_4609,-31.18708585,33.69584418,173.9826759,-28.69,95.8,0.78,4.7
